game_name,game_image_url,release_world,main_story,main_extra,completionist,Platform
Prince of Persia: The Lost Crown,"https://howlongtobeat.com/games/129785_Prince_of_Persia_The_Lost_Crown.jpg ",2024,16.34,23.73,30.68,"PC, PlayStation 4, PlayStation 5"
Quantum Replica,"https://howlongtobeat.com/games/62049_Quantum_Replica.jpg ",2018,4.67,7.19,7.82,
RUINER,"https://howlongtobeat.com/games/45166_RUINER.jpg ",2017,5.42,7.43,15.08,"PC, PlayStation 4"
Satellite Reign,"https://howlongtobeat.com/games/Satellite_Reign_header.jpg ",2015,21.75,30.61,40.61,
Selaco (в альфе),"https://howlongtobeat.com/games/92132_Selaco.jpg ",2024,9.28,14.41,22.53,PC
Shadows of Doubt,"https://howlongtobeat.com/games/80205_Shadows_of_Doubt.jpg ",2023,20.66,25.2,48.85,"PC, PlayStation 5"
SNIPER ELITE Серия,,,,,,
Spider-Man 2,"https://howlongtobeat.com/games/8940_Spider-Man_2.png ",2004,6.93,15.68,39.43,
Split Fiction,"https://howlongtobeat.com/games/160592_Split_Fiction.jpg ",2025,0,0,0,"PC, PlayStation 5"
Star Wars Jedi: Survivor,"https://howlongtobeat.com/games/108358_Star_Wars_Jedi_Survivor.jpg ",2023,20.34,33.53,54.57,"PC, PlayStation 4, PlayStation 5"
Sublevel Zero  Redux,"https://howlongtobeat.com/games/Sublevel_Zero_header.jpg ",2015,5,0,0,
Syndicate,"https://howlongtobeat.com/games/9534_Syndicate.png ",2012,6.5,7.88,11.58,
Technobabylon,"https://howlongtobeat.com/games/Technobabylon_header.jpg ",2015,9.25,11.67,12.79,
The Ascent,"https://howlongtobeat.com/games/77922_The_Ascent.jpg ",2021,11.96,18.46,25.95,
The Bouncer,"https://howlongtobeat.com/games/9792_The_Bouncer.png ",2000,1.83,4.06,7.29,PlayStation 2
The Getaway (PS2),"https://howlongtobeat.com/games/The_Getaway_PS2.jpg ",2002,12.29,16.33,16.62,
The Invincible,"https://howlongtobeat.com/games/83135_The_Invincible.jpg ",2023,6.61,7.87,10.23,"PC, PlayStation 5"
The Operator,"https://howlongtobeat.com/games/151159_The_Operator.jpg ",2024,3.57,4.05,4.88,PC
The Outer Worlds,"https://howlongtobeat.com/games/62935_The_Outer_Worlds.jpg ",2019,13.28,26.53,40.02,
Thief Gold,"https://howlongtobeat.com/games/thiefgold.png ",1999,20.12,26.32,36.28,
Thief of Thieves: Season One,"https://howlongtobeat.com/games/60457_Thief_of_Thieves_Season_One.jpg ",2018,5.39,6.38,9.77,
Thief: The Black Parade,"https://howlongtobeat.com/games/141644_Thief_The_Black_Parade.jpg ",2023,15.72,31.26,0,
[thief the dark project](https://dtf.ru/games/2468255-thief-the-dark-project-personalnaya-ten),,,,,,
