name	img	year	genres	rating	length	type	
Окулус	https://kinopoiskapiunofficial.tech/images/posters/kp/680499.jpg	2013	триллер, ужасы	6.5	01:45	Фильм			
Мы — Миллеры	https://kinopoiskapiunofficial.tech/images/posters/kp/582170.jpg	2013	комедия, криминал	7.2	01:50	Фильм			
Джобс: Империя соблазна	https://kinopoiskapiunofficial.tech/images/posters/kp/677798.jpg	2013	биография, драма	6.5	02:02	Фильм			
Тихоокеанский рубеж	https://kinopoiskapiunofficial.tech/images/posters/kp/546915.jpg	2013	боевик, приключения, фантастика	7	02:11	Фильм			
Штамм	https://kinopoiskapiunofficial.tech/images/posters/kp/737843.jpg	2014	драма, триллер, ужасы, фэнтези	6.9	00:43	Сериал			
Фарго	https://kinopoiskapiunofficial.tech/images/posters/kp/767379.jpg	2014	драма, криминал, триллер	8.3	00:53	Сериал			
Страшные сказки	https://kinopoiskapiunofficial.tech/images/posters/kp/782994.jpg	2014	драма, ужасы, фэнтези	7.4	01:00	Сериал			
Черные паруса	https://kinopoiskapiunofficial.tech/images/posters/kp/714095.jpg	2014	боевик, драма, приключения	7.7	01:00	Сериал			
Город грехов 2: Женщина, ради которой стоит убивать	https://kinopoiskapiunofficial.tech/images/posters/kp/103391.jpg	2014	боевик, криминал, триллер	6.9	01:34	Фильм			
Оно приходит за тобой	https://kinopoiskapiunofficial.tech/images/posters/kp/804697.jpg	2014	ужасы	6.3	01:40	Фильм			
Из машины	https://kinopoiskapiunofficial.tech/images/posters/kp/197532.jpg	2014	драма, триллер, фантастика	7.1	01:48	Фильм			
Грань будущего	https://kinopoiskapiunofficial.tech/images/posters/kp/505851.jpg	2014	боевик, приключения, фантастика	7.9	01:53	Фильм			
Великий уравнитель	https://kinopoiskapiunofficial.tech/images/posters/kp/196707.jpg	2014	боевик, криминал, триллер	7.1	02:12	Фильм			
Исчезнувшая	https://kinopoiskapiunofficial.tech/images/posters/kp/692861.jpg	2014	детектив, драма, триллер	8	02:29	Фильм			
Нарко	https://kinopoiskapiunofficial.tech/images/posters/kp/821565.jpg	2015	драма, криминал	8.4	00:50	Сериал			
Хитмэн: Агент 47	https://kinopoiskapiunofficial.tech/images/posters/kp/737668.jpg	2015	боевик, криминал, триллер, фантастика	5.7	01:36	Фильм			
Духless 2	https://kinopoiskapiunofficial.tech/images/posters/kp/765103.jpg	2015	драма	6.7	01:47	Фильм			
Хроники призрачного племени	https://kinopoiskapiunofficial.tech/images/posters/kp/919866.jpg	2015	боевик, приключения, фэнтези	5.6	01:58	Фильм			
Выстрел в пустоту	https://kinopoiskapiunofficial.tech/images/posters/kp/910353.jpg	2015	драма, криминал, триллер	7.7	02:00	Фильм			
Земля будущего	https://kinopoiskapiunofficial.tech/images/posters/kp/596643.jpg	2015	приключения, семейный, фантастика	6.2	02:10	Фильм			
Моя геройская академия	https://kinopoiskapiunofficial.tech/images/posters/kp/975897.jpg	2016	аниме, боевик, комедия, мультфильм, фантастика	7.5	00:23	Аниме-сериал			
Моб Психо 100	https://kinopoiskapiunofficial.tech/images/posters/kp/1002686.jpg	2016	аниме, боевик, комедия, мультфильм, фантастика	8.3	00:24	Аниме			
Мир Дикого Запада	https://kinopoiskapiunofficial.tech/images/posters/kp/195523.jpg	2016	детектив, драма, фантастика	7.8	01:02	Сериал			
Неоновый демон	https://kinopoiskapiunofficial.tech/images/posters/kp/623721.jpg	2016	драма, триллер, ужасы	6.1	01:57	Фильм			
Созданный в Бездне	https://kinopoiskapiunofficial.tech/images/posters/kp/1047593.jpg	2017	аниме, мультфильм, приключения, фантастика, фэнтези	8.2	00:25	Аниме-сериал			
Ритуал	https://kinopoiskapiunofficial.tech/images/posters/kp/1007990.jpg	2017	ужасы	6.2	01:34	Фильм			
